prime,A,x0,trials
257,131,242,12
257,134,17,1
257,134,140,2
257,58,202,2
257,256,187,38
257,253,116,3
257,34,158,2
257,15,165,12
257,89,75,2
257,76,175,5
257,223,36,10
257,131,246,4
257,17,187,6
257,227,236,1
257,239,14,4
257,227,114,25
257,122,137,2
257,4,64,1
257,34,68,2
257,256,249,4
257,199,55,1
257,36,74,4
257,199,238,2
257,227,199,2
257,4,253,6
257,234,234,1
257,251,74,1
257,126,31,8
257,177,22,6
257,27,50,10
257,34,122,5
257,10,153,6
257,10,208,2
257,256,158,2
257,23,243,9
257,18,91,9
257,15,99,2
257,223,8,6
257,17,116,4
257,181,183,9
257,1,70,3
257,181,147,1
257,243,234,2
257,177,117,2
257,256,122,3
257,126,61,4
257,14,50,2
257,119,88,5
257,131,196,3
257,119,49,5
257,89,24,4
257,13,35,2
257,23,176,4
257,15,242,5
257,15,81,5
257,172,150,3
257,119,146,2
257,36,90,4
257,256,32,1
257,80,78,11
257,14,88,2
257,230,53,2
257,18,243,2
257,240,222,1
257,6,230,5
257,168,11,4
257,85,140,3
257,244,50,12
257,244,135,4
257,254,155,7
257,14,60,5
257,127,31,2
257,253,52,2
257,172,172,1
257,13,158,9
257,134,89,8
257,230,164,3
257,14,36,1
257,17,113,6
257,242,123,10
257,15,18,4
257,23,217,6
257,85,105,6
257,221,245,1
257,36,177,9
257,30,189,2
257,14,184,1
257,244,99,1
257,227,124,3
257,36,12,1
257,138,73,2
257,221,107,6
257,256,11,6
257,30,226,1
257,230,230,7
257,177,5,1
257,30,58,1
257,18,156,2
257,14,190,3
257,27,91,2
257,34,223,4
257,130,58,7
257,130,2,1
257,227,223,1
257,240,22,1
257,177,55,3
257,256,136,2
257,177,119,9
257,13,116,3
257,17,235,1
257,3,63,1
257,177,228,5
257,242,122,9
257,138,196,1
257,230,97,5
257,130,100,4
257,58,14,2
257,17,11,3
257,13,221,5
257,244,168,1
257,234,188,8
257,23,238,2
257,254,83,3
257,138,231,32
257,6,19,9
